Date,Time,kWh Forn,kWh Rec,kVARh Forn,kVARh Rec,Vll an mean,Vll bn mean,Vll cn mean,Ia mean,Ib mean,Ic mean,kWh FornCP,kWh RecCP,kVARh FornCP,kVARh RecCP
3/1/14,10:25:00000,686844849,0,45895012,0,40802921875,36332710938,40888261719,69541809,68080177,72926056,686844849,0,45895012,0
3/1/14,10:30:00000,685508545,0,46517380,0,40795976563,36312898438,40883207031,69578842,67798599,72795624,685508545,0,46517380,0
3/1/14,10:35:00000,684122437,0,45210167,0,40825691406,36509367188,40909554688,69198677,67547035,72513039,684122437,0,45210167,0
3/1/14,10:40:00000,684179138,0,44607510,0,40803304688,36651582031,40886671875,68910294,67643745,72547363,684179138,0,44607510,0
3/1/14,10:45:00000,694225159,0,49496513,0,40820328125,36909648438,40897187500,69987579,68338310,73327972,694225159,0,49496513,0
3/1/14,10:50:00000,694303040,0,48031078,0,40839738281,36645148438,40915691406,69960854,68506767,73634628,694303040,0,48031078,0
3/1/14,10:55:00000,694593323,0,46066254,0,40856394531,36496316406,40929277344,70099739,68626961,73636963,694593323,0,46066254,0
3/1/14,11:00:00000,690383301,0,42099129,0,40851714844,36199339844,40923480469,69930817,68244781,73408989,690383301,0,42099129,0
3/1/14,11:05:00000,702871033,0,51410717,0,40835648438,36342714844,40904343750,71024620,69631462,74741249,702871033,0,51410717,0
3/1/14,11:10:00000,704160767,0,53607323,0,40835710938,36482191406,40903375000,71199387,69499329,74850098,704160767,0,53607323,0
3/1/14,11:15:00000,707922180,0,54584911,0,40842578125,36832593750,40912425781,71397385,69599091,75005585,707922180,0,54584911,0
3/1/14,11:20:00000,711035217,0,55312119,0,40826953125,37344058594,40911050781,71079407,69868675,75104851,711035217,0,55312119,0
3/1/14,11:25:00000,705802246,0,54774326,0,40818210938,37123460938,40913132813,70767807,69431595,74692154,705802246,0,54774326,0
3/1/14,11:30:00000,705095398,0,56097290,0,40816398438,37098558594,40913714844,70653931,69351158,74772621,705095398,0,56097290,0
3/1/14,11:35:00000,705352722,0,55437981,0,40815761719,37020515625,40915820313,70806839,69576729,74583130,705352722,0,55437981,0
3/1/14,11:40:00000,703825012,0,51654209,0,40805132813,37001332031,40919601563,70688728,69277260,74505272,703825012,0,51654209,0
3/1/14,11:45:00000,712022461,0,55982155,0,40774917969,37037230469,40904273438,71604744,70181190,75262146,712022461,0,55982155,0
3/1/14,11:50:00000,708924683,0,55448658,0,40749613281,37143183594,40894019531,71482788,69794266,74619225,708924744,0,55448662,0
3/1/14,11:55:00000,710580017,0,56717682,0,40810992188,37238054688,40961550781,71509148,69643311,74886230,710580017,0,56717682,0
3/1/14,12:00:00000,710521606,0,53810337,0,40792281250,37310171875,40940082031,71515999,69452667,74930595,710521606,0,53810337,0
3/1/14,12:05:00000,713945618,0,55724312,0,40872914063,37117574219,41006660156,71815941,70031464,75259140,713945618,0,55724312,0
3/1/14,12:10:00000,710370361,0,55350655,0,40848351563,37105433594,40981308594,71653076,69586929,74851944,710370361,0,55350655,0
3/1/14,12:15:00000,710931030,0,56147095,0,40829480469,36887453125,40975035156,71731369,69916245,75107895,710931030,0,56147095,0
3/1/14,12:20:00000,709320618,0,57450859,0,40876363281,36989593750,41030902344,71627121,69565941,74687790,709320618,0,57450859,0
3/1/14,12:25:00000,711492126,0,57999378,0,40901957031,36903472656,41064792969,72055664,69922836,74595551,711492126,0,57999374,0
3/1/14,12:30:00000,711645081,0,58554359,0,40904578125,36982222656,41073464844,71983627,69891716,74597542,711645081,0,58554359,0
3/1/14,12:35:00000,710681335,0,58138168,0,40890722656,37201906250,41057535156,71595947,69764778,74477013,710681335,0,58138168,0
3/1/14,12:40:00000,711315674,0,58322548,0,40915460938,37370269531,41077710938,71289787,69769112,74618736,711315674,0,58322548,0
3/1/14,12:45:00000,709189575,0,56017876,0,40917453125,37326531250,41076183594,71060226,69712822,74293274,709189514,0,56017876,0
3/1/14,12:50:00000,707294922,0,57346691,0,40921027344,37411144531,41079394531,70909744,69380440,74041199,707294922,0,57346691,0
3/1/14,12:55:00000,704237305,0,55796680,0,40915257813,37096058594,41075765625,70854393,69142120,73993164,704237305,0,55796680,0
3/1/14,13:00:00000,710614258,0,59968250,0,40892613281,37265046875,41043066406,71614441,70000542,74157089,710614258,0,59968250,0
3/1/14,13:05:00000,706466858,0,55050957,0,40798238281,37210226563,40946582031,71269951,69612617,73978508,706466858,0,55050957,0
3/1/14,13:10:00000,700589539,0,51079651,0,40820500000,37289257813,40958757813,70486176,69100029,73243065,700589539,0,51079651,0
3/1/14,13:15:00000,704478149,0,54205498,0,40840488281,37443265625,40968082031,70797562,69421272,73521454,704478149,0,54205498,0
3/1/14,13:20:00000,704831543,0,54687145,0,40828332031,37389378906,40955031250,70847992,69646339,73499817,704831543,0,54687145,0
3/1/14,13:25:00000,702716614,0,54178837,0,40825902344,37367421875,40972066406,70758301,69436928,73131630,702716614,0,54178837,0
3/1/14,13:30:00000,700672791,0,49928486,0,40773234375,37269117188,40920933594,70792274,69210159,72965630,700672729,0,49928486,0
3/1/14,13:35:00000,693498901,0,43406471,0,40764515625,37252785156,40896011719,70332184,68064644,72341110,693498901,0,43406471,0
3/1/14,13:40:00000,695166321,0,44961067,0,40831214844,37424960938,40954855469,70293091,67906136,72557167,695166321,0,44961067,0
3/1/14,13:45:00000,696311096,0,45109962,0,40752800781,37763460938,40876128906,70055130,67929932,72779861,696311096,0,45109962,0
3/1/14,13:50:00000,703240417,0,50542137,0,40736085938,38017242188,40874191406,70756149,68569283,73156082,703240417,0,50542137,0
3/1/14,13:55:00000,707176086,0,51613464,0,40690027344,38014390625,40822738281,71243446,68973717,73627792,707176025,0,51613464,0
3/1/14,14:00:00000,704278259,0,46866432,0,40601265625,37501687500,40730457031,71297913,69028847,73822998,704278259,0,46866432,0
3/1/14,14:05:00000,707012451,0,48988674,0,40590660156,37285183594,40713230469,71696533,69297905,74484207,707012451,0,48988674,0
3/1/14,14:10:00000,707032532,0,50970303,0,40606019531,37193261719,40719492188,71853493,69198822,74585373,707032532,0,50970303,0
3/1/14,14:15:00000,707655945,0,51411194,0,40619375000,36921898438,40724300781,72037445,69527451,74751755,707655945,0,51411194,0
3/1/14,14:20:00000,706206055,0,48845127,0,40612796875,36858003906,40715214844,71899895,69488838,74592461,706206055,0,48845127,0
3/1/14,14:25:00000,713319824,0,52525745,0,40633589844,37021046875,40734125000,72706696,70114227,75004059,713319824,0,52525745,0
3/1/14,14:30:00000,719537659,0,55656609,0,40646343750,37221539063,40748355469,73357872,70510529,75485718,719537659,0,55656609,0
3/1/14,14:35:00000,721547607,0,56537426,0,40653710938,37456144531,40757949219,73501991,70607147,75404289,721547607,0,56537426,0
3/1/14,14:40:00000,719258240,0,54707733,0,40653046875,37862820313,40759062500,73050682,70005630,74953079,719258240,0,54707733,0
3/1/14,14:45:00000,722831970,0,58129993,0,40617441406,38128007813,40727355469,73088654,70410194,75318306,722831970,0,58129993,0
3/1/14,14:50:00000,724875854,0,60237267,0,40668207031,38420402344,40780472656,72935722,70362129,75466194,724875854,0,60237267,0
3/1/14,14:55:00000,718333130,0,56976536,0,40713546875,38404218750,40828402344,72236969,69535828,74840485,718333130,0,56976536,0
3/1/14,15:00:00000,719410400,0,55106430,0,40734035156,38114308594,40845828125,72460381,69943710,75023087,719410400,0,55106430,0
3/1/14,15:05:00000,726451721,0,58002800,0,40731675781,37986964844,40848484375,73322235,70653831,75922874,726451721,0,58002800,0
3/1/14,15:10:00000,725412354,0,56792305,0,40764468750,38226761719,40880761719,73139130,70238281,75585739,725412354,0,56792305,0
3/1/14,15:15:00000,721946594,0,56154057,0,40747062500,38318355469,40873171875,72706245,69737770,75340446,721946594,0,56154057,0
3/1/14,15:20:00000,726638184,0,58558781,0,40717535156,38353785156,40848316406,73163246,70343460,75749580,726638123,0,58558781,0
3/1/14,15:25:00000,722798340,0,58409355,0,40706558594,38505011719,40839421875,72822456,69845901,75132378,722798340,0,58409355,0
3/1/14,15:30:00000,717808350,0,55402279,0,40776554688,38444773438,40907660156,72556664,69622734,73832771,717808350,0,55402279,0
3/1/14,15:35:00000,719676086,0,55882061,0,40786253906,37969976563,40916421875,73070602,70069756,74282600,719676086,0,55882061,0
3/1/14,15:40:00000,713944214,0,52876434,0,40785109375,37426027344,40916828125,72886642,69698753,74055550,713944214,0,52876434,0
3/1/14,15:45:00000,710169067,0,51059311,0,40789464844,37191792969,40912882813,72620613,69610649,73651848,710169067,0,51059311,0
3/1/14,15:50:00000,711157227,0,54475006,0,40772476563,37453328125,40889500000,72468834,69764427,73584587,711157227,0,54475006,0
3/1/14,15:55:00000,710385864,0,54710323,0,40771582031,37294136719,40886011719,72555885,69678757,73649567,710385864,0,54710323,0
3/1/14,16:00:00000,715431885,0,57132885,0,40765039063,37438042969,40880027344,72985458,69942589,74285049,715431885,0,57132885,0
3/1/14,16:05:00000,717390442,0,57659897,0,40798308594,37188019531,40917664063,73268791,70171432,74748207,717390442,0,57659897,0
3/1/14,16:10:00000,719760986,0,60101048,0,40890296875,37307652344,41013179688,73399567,70349251,74641281,719760986,0,60101048,0
3/1/14,16:15:00000,718885742,0,60118332,0,40869300781,37221476563,40992402344,73397064,70263786,74719048,718885742,0,60118332,0
3/1/14,16:20:00000,715542297,0,57385681,0,40870531250,37041242188,40996074219,73131721,70306412,74206322,715542297,0,57385685,0
3/1/14,16:25:00000,713168762,0,53974884,0,40870210938,37169281250,40997738281,72678406,69994698,73958229,713168762,0,53974884,0
3/1/14,16:30:00000,713714661,0,54301258,0,40890167969,37409828125,41019156250,72448090,69918671,73930122,713714661,0,54301258,0
3/1/14,16:35:00000,716207214,0,55061989,0,40861523438,37492300781,40990722656,72798599,70085747,74133537,716207214,0,55061989,0
3/1/14,16:40:00000,711831055,0,54141800,0,40772121094,37629539063,40901167969,72134933,69835297,73795036,711831055,0,54141800,0
3/1/14,16:45:00000,707028687,0,53352707,0,40842339844,37579894531,40970738281,71444405,69228897,73513229,707028687,0,53352707,0
3/1/14,16:50:00000,702685181,0,51478283,0,40935285156,37672949219,41063750000,70814011,68620384,72917778,702685181,0,51478283,0
3/1/14,16:55:00000,699217651,0,49071575,0,40973488281,37756656250,41102386719,70400398,68050499,72540779,699217651,0,49071575,0
